1,0,0.000000,0,0.000000
2,0,0.000000,0,2.000000
3,1,0.500000,1,4.000000
4,2,1.000000,1,4.000000
5,3,1.500000,1,3.250000
6,4,2.000000,1,2.800000
7,5,2.500000,1,2.800000
8,5,2.571429,2,2.833333
9,5,2.750000,2,2.571429
10,5,3.000000,2,2.375000
11,6,3.300000,2,2.375000
12,6,3.363636,2,2.375000
13,6,3.416667,3,2.375000
14,6,3.384615,3,2.222222
15,6,3.428571,3,2.222222
16,6,3.400000,4,2.100000
17,6,3.437500,4,2.100000
18,6,3.352941,4,2.100000
19,6,3.277778,4,2.000000
20,6,3.263158,4,2.000000
21,6,3.200000,4,2.000000
22,6,3.142857,5,1.916667
23,6,3.136364,5,1.916667
24,6,3.086957,6,1.916667
25,6,3.000000,6,1.846154
26,6,2.960000,6,1.846154
